Timestamp: Dec 16, 2007 4:19:50 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 1.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 0.0
NumberOfFires: 1.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,5546.0,1,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
2,4578.0,1197843702665,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
3,6076.0,1197843797442,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
4,277.0,1197843921347,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
5,6059.0,1197843927449,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
6,1397.0,1197844050513,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
7,5434.0,1197844080626,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
8,5358.0,1197844194181,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
9,206.0,1197844303802,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
10,4792.0,1197844308989,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
11,5016.0,1197844359636,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
12,4668.0,1197844462676,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
13,27.0,1197844553522,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
14,5408.0,1197844554713,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
15,5820.0,1197844664160,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
16,6020.0,1197844783276,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
17,39.0,1197844903555,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
18,6239.0,1197844904839,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
19,6446.0,1197845033998,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
20,30.0,1197845164118,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
21,15.0,1197845165189,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
22,4821.0,1197845165997,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
23,6142.0,1197845263142,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
24,4965.0,1197845390552,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
25,5466.0,1197845491908,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
26,7111.0,1197845603419,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
27,4421.0,1197845741467,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
28,32.0,1197845831786,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
29,5251.0,1197845833045,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
30,291.0,1197845939229,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
31,4654.0,1197845946107,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
32,5908.0,1197846040788,1.0,0.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0

End Time: Dec 16, 2007 5:02:39 PM
