Timestamp: Dec 17, 2007 3:57:43 AM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 1.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 500.0
NumberOfFires: 5.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,54.0,1,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
2,80.0,1197863869883,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
3,95.0,1197863878476,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
4,64.0,1197863887368,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
5,129.0,1197863893556,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
6,57.0,1197863904546,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
7,101.0,1197863910003,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
8,87.0,1197863919122,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
9,101.0,1197863927021,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
10,65.0,1197863935955,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
11,74.0,1197863942030,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
12,87.0,1197863949097,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
13,62.0,1197863956917,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
14,116.0,1197863962727,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
15,80.0,1197863972891,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
16,97.0,1197863980312,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
17,60.0,1197863988981,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
18,31.0,1197863994569,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
19,66.0,1197863998017,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
20,70.0,1197864004398,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
21,40.0,1197864011043,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
22,158.0,1197864015114,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
23,72.0,1197864028501,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
24,79.0,1197864034829,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
25,63.0,1197864042016,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
26,47.0,1197864047695,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
27,46.0,1197864052418,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
28,170.0,1197864056987,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
29,60.0,1197864070678,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
30,89.0,1197864076843,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
31,62.0,1197864084725,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
32,41.0,1197864090716,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0

End Time: Dec 17, 2007 4:01:34 AM
