Timestamp: Dec 16, 2007 5:55:33 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 50.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 10.0
NumberOfFires: 500.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,663.0,1,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
2,694.0,1197849339734,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
3,713.0,1197849345656,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
4,717.0,1197849351796,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
5,643.0,1197849358078,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
6,653.0,1197849363546,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
7,801.0,1197849369109,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
8,688.0,1197849376062,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
9,660.0,1197849382156,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
10,650.0,1197849387906,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
11,881.0,1197849393187,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
12,651.0,1197849400531,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
13,741.0,1197849406109,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
14,728.0,1197849412468,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
15,716.0,1197849418781,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
16,659.0,1197849424796,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
17,655.0,1197849430484,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
18,711.0,1197849436109,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
19,692.0,1197849442281,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
20,740.0,1197849448250,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
21,716.0,1197849454718,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
22,711.0,1197849461031,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
23,675.0,1197849467203,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
24,690.0,1197849473109,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
25,656.0,1197849478937,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
26,639.0,1197849484546,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
27,670.0,1197849490093,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
28,719.0,1197849495812,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
29,675.0,1197849501859,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
30,692.0,1197849507671,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
31,737.0,1197849513656,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
32,672.0,1197849520078,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0

End Time: Dec 16, 2007 5:58:45 PM
