Timestamp: Dec 17, 2007 3:36:27 AM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 15.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 500.0
NumberOfFires: 1.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,9.0,1,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
2,12.0,1197862593789,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
3,7.0,1197862596060,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
4,11.0,1197862598607,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
5,7.0,1197862600743,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
6,16.0,1197862602373,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
7,10.0,1197862605383,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
8,9.0,1197862607506,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
9,3.0,1197862609377,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
10,15.0,1197862611398,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
11,12.0,1197862614034,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
12,3.0,1197862616386,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
13,1.0,1197862617681,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
14,6.0,1197862618617,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
15,12.0,1197862620393,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
16,11.0,1197862622626,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
17,4.0,1197862625007,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
18,7.0,1197862626422,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
19,6.0,1197862628223,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
20,7.0,1197862629896,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
21,11.0,1197862631675,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
22,5.0,1197862633946,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
23,2.0,1197862635573,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
24,10.0,1197862636781,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
25,3.0,1197862638863,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
26,9.0,1197862640365,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
27,2.0,1197862642244,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
28,7.0,1197862643455,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
29,8.0,1197862645487,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
30,9.0,1197862647310,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
31,12.0,1197862649355,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
32,1.0,1197862651863,1.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0

End Time: Dec 17, 2007 3:37:33 AM
