Timestamp: Dec 16, 2007 6:34:47 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 1.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 100.0
NumberOfFires: 10.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,1641.0,1,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
2,3509.0,1197851727139,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
3,1576.0,1197851809537,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
4,2737.0,1197851846568,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
5,1316.0,1197851910450,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
6,1585.0,1197851940235,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
7,1346.0,1197851977605,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
8,2250.0,1197852009712,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
9,1497.0,1197852062449,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
10,2602.0,1197852097134,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
11,1124.0,1197852156868,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
12,2818.0,1197852182235,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
13,2077.0,1197852246407,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
14,212.0,1197852293025,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
15,2639.0,1197852298280,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
16,443.0,1197852358406,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
17,2380.0,1197852368690,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
18,1578.0,1197852423434,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
19,1177.0,1197852460147,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
20,1526.0,1197852487676,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
21,1152.0,1197852522494,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
22,2772.0,1197852549183,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
23,689.0,1197852612564,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
24,2996.0,1197852629016,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
25,2502.0,1197852697205,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
26,1430.0,1197852753149,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
27,3184.0,1197852786437,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
28,637.0,1197852858513,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
29,2424.0,1197852873659,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
30,104.0,1197852929988,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
31,3249.0,1197852932907,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
32,2375.0,1197853007095,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0

End Time: Dec 16, 2007 6:57:41 PM
