Timestamp: Dec 16, 2007 5:11:50 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 1.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 10.0
NumberOfFires: 500.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,824.0,1,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
2,860.0,1197846716421,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
3,859.0,1197846722937,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
4,891.0,1197846729656,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
5,875.0,1197846736718,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
6,876.0,1197846743796,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
7,1022.0,1197846750375,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
8,1123.0,1197846758578,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
9,958.0,1197846766031,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
10,818.0,1197846772921,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
11,850.0,1197846778343,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
12,1322.0,1197846783968,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
13,930.0,1197846795906,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
14,856.0,1197846802640,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
15,1161.0,1197846808796,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
16,1223.0,1197846817234,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
17,899.0,1197846826046,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
18,870.0,1197846832656,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
19,935.0,1197846838859,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
20,763.0,1197846845750,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
21,828.0,1197846851328,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
22,947.0,1197846890218,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
23,1004.0,1197846897031,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
24,1189.0,1197846984640,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
25,1033.0,1197846993062,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
26,1010.0,1197847000921,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
27,1096.0,1197847008250,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
28,1140.0,1197847138296,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
29,983.0,1197847146843,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
30,1287.0,1197847154234,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
31,806.0,1197847163890,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
32,1085.0,1197847170000,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0

End Time: Dec 16, 2007 5:20:42 PM
