Timestamp: Dec 16, 2007 8:29:24 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 1.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 50.0
NumberOfFires: 10.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,3258.0,1,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
2,2542.0,1197858637282,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
3,2372.0,1197858694376,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
4,3405.0,1197858747444,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
5,1708.0,1197858823626,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
6,1731.0,1197858862236,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
7,4105.0,1197858899369,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
8,4098.0,1197858991526,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
9,3195.0,1197859081212,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
10,4992.0,1197859149874,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
11,3618.0,1197859258888,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
12,1527.0,1197859338919,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
13,3536.0,1197859373542,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
14,2835.0,1197859452495,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
15,4030.0,1197859515783,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
16,3575.0,1197859605592,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
17,2775.0,1197859682482,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
18,4506.0,1197859740881,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
19,2699.0,1197859837974,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
20,1142.0,1197859896968,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
21,3293.0,1197859922716,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
22,2983.0,1197859994714,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
23,3434.0,1197860060571,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
24,2445.0,1197860135482,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
25,2142.0,1197860189438,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
26,5114.0,1197860236637,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
27,2640.0,1197860343815,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
28,2868.0,1197860402045,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
29,2954.0,1197860465642,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
30,809.0,1197860530305,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
31,1215.0,1197860548306,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
32,2923.0,1197860575659,10.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0

End Time: Dec 16, 2007 9:03:59 PM
