Timestamp: Dec 16, 2007 6:28:21 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 1.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 100.0
NumberOfFires: 1.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,87.0,1,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
2,3.0,1197851304230,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
3,25.0,1197851304821,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
4,239.0,1197851305968,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
5,202.0,1197851312475,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
6,199.0,1197851318164,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
7,1.0,1197851323513,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
8,67.0,1197851323972,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
9,93.0,1197851326025,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
10,39.0,1197851328680,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
11,96.0,1197851330021,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
12,11.0,1197851332729,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
13,156.0,1197851333413,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
14,554.0,1197851337657,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
15,23.0,1197851351359,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
16,89.0,1197851352455,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
17,272.0,1197851354979,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
18,27.0,1197851362017,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
19,11.0,1197851363144,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
20,109.0,1197851363840,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
21,213.0,1197851366781,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
22,104.0,1197851372384,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
23,61.0,1197851375221,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
24,81.0,1197851377087,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
25,111.0,1197851379516,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
26,1.0,1197851382491,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
27,93.0,1197851382908,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
28,83.0,1197851385393,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
29,252.0,1197851390275,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
30,71.0,1197851396730,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
31,81.0,1197851398811,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
32,256.0,1197851401139,1.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0

End Time: Dec 16, 2007 6:30:07 PM
