Timestamp: Dec 16, 2007 7:54:14 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 50.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 100.0
NumberOfFires: 500.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,515.0,1,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
2,504.0,1197856483051,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
3,527.0,1197856509839,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
4,502.0,1197856537958,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
5,563.0,1197856564841,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
6,560.0,1197856594896,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
7,508.0,1197856624028,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
8,530.0,1197856650568,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
9,466.0,1197856678220,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
10,538.0,1197856702944,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
11,516.0,1197856731209,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
12,508.0,1197856758425,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
13,496.0,1197856784836,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
14,511.0,1197856812019,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
15,499.0,1197856839258,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
16,519.0,1197856865798,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
17,605.0,1197856893179,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
18,571.0,1197856924564,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
19,535.0,1197856953965,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
20,525.0,1197856982043,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
21,537.0,1197857009364,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
22,540.0,1197857037957,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
23,538.0,1197857065901,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
24,549.0,1197857094108,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
25,502.0,1197857122877,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
26,540.0,1197857149256,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
27,545.0,1197857177322,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
28,510.0,1197857205491,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
29,517.0,1197857231907,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
30,559.0,1197857258714,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
31,556.0,1197857287733,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
32,517.0,1197857316449,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0

End Time: Dec 16, 2007 8:09:03 PM
