Timestamp: Dec 16, 2007 8:27:02 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 50.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 50.0
NumberOfFires: 1.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,52.0,1,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
2,1.0,1197858425539,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
3,47.0,1197858426039,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
4,12.0,1197858428423,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
5,17.0,1197858429411,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
6,24.0,1197858430368,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
7,84.0,1197858431842,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
8,27.0,1197858435514,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
9,20.0,1197858436995,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
10,26.0,1197858438007,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
11,34.0,1197858439426,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
12,46.0,1197858441200,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
13,37.0,1197858443385,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
14,11.0,1197858445223,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
15,41.0,1197858446015,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
16,34.0,1197858448102,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
17,34.0,1197858449744,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
18,74.0,1197858451536,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
19,51.0,1197858454861,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
20,41.0,1197858457210,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
21,27.0,1197858459271,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
22,28.0,1197858460552,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
23,9.0,1197858461861,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
24,36.0,1197858462565,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
25,57.0,1197858464405,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
26,36.0,1197858466958,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
27,30.0,1197858468700,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
28,25.0,1197858470161,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
29,75.0,1197858471465,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
30,3.0,1197858474497,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
31,30.0,1197858475035,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
32,9.0,1197858476391,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0

End Time: Dec 16, 2007 8:27:57 PM
