Timestamp: Dec 16, 2007 4:55:44 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 15.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 10.0
NumberOfFires: 10.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,1466.0,1,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
2,546.0,1197845755328,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
3,1569.0,1197845759468,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
4,2179.0,1197845770750,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
5,1953.0,1197845786281,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
6,996.0,1197845800140,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
7,1735.0,1197845807250,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
8,1120.0,1197845819953,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
9,1140.0,1197845828093,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
10,1032.0,1197845836187,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
11,1576.0,1197845843781,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
12,1813.0,1197845855562,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
13,2344.0,1197845868484,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
14,1010.0,1197845885531,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
15,1541.0,1197845892843,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
16,1542.0,1197845903734,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
17,1414.0,1197845914546,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
18,765.0,1197845924671,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
19,1211.0,1197845930265,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
20,910.0,1197845938906,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
21,1941.0,1197845945500,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
22,1806.0,1197845959625,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
23,1416.0,1197845972812,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
24,1706.0,1197845983171,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
25,1441.0,1197845995562,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
26,416.0,1197846005937,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
27,1409.0,1197846009046,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
28,1038.0,1197846019140,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
29,1667.0,1197846026734,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
30,528.0,1197846038671,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
31,1271.0,1197846042562,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
32,1226.0,1197846051781,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0

End Time: Dec 16, 2007 5:01:00 PM
