Timestamp: Dec 16, 2007 10:36:53 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 15.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 500.0
NumberOfFires: 500.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,288.0,1,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
2,321.0,1197866229468,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
3,305.0,1197866247275,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
4,289.0,1197866263504,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
5,310.0,1197866278760,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
6,317.0,1197866295122,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
7,296.0,1197866312172,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
8,335.0,1197866328049,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
9,321.0,1197866345832,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
10,288.0,1197866362809,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
11,351.0,1197866377364,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
12,337.0,1197866395383,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
13,283.0,1197866413310,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
14,333.0,1197866428080,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
15,282.0,1197866445017,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
16,340.0,1197866460353,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
17,271.0,1197866477761,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
18,289.0,1197866491591,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
19,293.0,1197866506465,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
20,334.0,1197866521358,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
21,315.0,1197866538781,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
22,329.0,1197866554777,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
23,280.0,1197866571508,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
24,283.0,1197866585664,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
25,279.0,1197866600327,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
26,352.0,1197866614877,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
27,350.0,1197866633050,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
28,298.0,1197866650926,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
29,347.0,1197866666213,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
30,321.0,1197866684153,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
31,306.0,1197866701084,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
32,321.0,1197866717318,500.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0

End Time: Dec 16, 2007 10:45:33 PM
