Timestamp: Dec 16, 2007 9:29:34 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 50.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 50.0
NumberOfFires: 5.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,77.0,1,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
2,82.0,1197862178376,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
3,39.0,1197862182033,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
4,42.0,1197862183973,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
5,66.0,1197862185900,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
6,54.0,1197862188537,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
7,139.0,1197862191106,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
8,45.0,1197862196728,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
9,98.0,1197862199111,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
10,66.0,1197862203080,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
11,108.0,1197862205866,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
12,63.0,1197862210202,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
13,69.0,1197862213056,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
14,47.0,1197862216003,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
15,31.0,1197862218086,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
16,78.0,1197862219519,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
17,26.0,1197862222771,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
18,87.0,1197862224183,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
19,106.0,1197862227808,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
20,140.0,1197862232211,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
21,101.0,1197862237286,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
22,116.0,1197862241405,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
23,58.0,1197862245764,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
24,148.0,1197862248400,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
25,87.0,1197862254076,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
26,79.0,1197862257580,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
27,181.0,1197862260757,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
28,88.0,1197862267677,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
29,64.0,1197862271345,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
30,41.0,1197862274045,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
31,131.0,1197862275846,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
32,135.0,1197862281071,5.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0

End Time: Dec 16, 2007 9:31:26 PM
