Timestamp: Dec 16, 2007 5:45:39 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 15.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 10.0
NumberOfFires: 500.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,761.0,1,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
2,688.0,1197848744500,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
3,679.0,1197848749187,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
4,684.0,1197848753812,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
5,687.0,1197848758421,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
6,725.0,1197848763015,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
7,915.0,1197848767890,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
8,1020.0,1197848773968,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
9,688.0,1197848780609,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
10,708.0,1197848785156,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
11,1041.0,1197848789875,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
12,713.0,1197848796625,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
13,808.0,1197848801343,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
14,699.0,1197848806640,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
15,801.0,1197848811281,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
16,726.0,1197848816546,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
17,693.0,1197848821390,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
18,630.0,1197848826031,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
19,682.0,1197848830265,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
20,738.0,1197848834812,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
21,678.0,1197848839750,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
22,640.0,1197848844281,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
23,872.0,1197848848562,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
24,941.0,1197848854359,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
25,832.0,1197848860578,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
26,701.0,1197848866078,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
27,649.0,1197848870734,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
28,697.0,1197848875078,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
29,756.0,1197848879750,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
30,626.0,1197848884734,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
31,701.0,1197848888984,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
32,702.0,1197848893656,500.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0

End Time: Dec 16, 2007 5:48:18 PM
