Timestamp: Dec 16, 2007 4:39:39 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 15.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 10.0
NumberOfFires: 1.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,267.0,1,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
2,13.0,1197844781593,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
3,794.0,1197844781796,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
4,14.0,1197844788031,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
5,72.0,1197844788234,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
6,181.0,1197844788843,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
7,123.0,1197844790203,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
8,16.0,1197844791203,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
9,1040.0,1197844791359,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
10,13.0,1197844799093,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
11,98.0,1197844799296,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
12,12.0,1197844800109,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
13,53.0,1197844800234,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
14,5.0,1197844800703,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
15,120.0,1197844800796,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
16,135.0,1197844801781,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
17,17.0,1197844802828,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
18,17.0,1197844803046,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
19,142.0,1197844803265,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
20,243.0,1197844804406,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
21,59.0,1197844806312,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
22,16.0,1197844806796,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
23,117.0,1197844807015,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
24,351.0,1197844807968,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
25,1304.0,1197844810625,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
26,68.0,1197844820546,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
27,256.0,1197844821140,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
28,37.0,1197844823093,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
29,71.0,1197844823421,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
30,40.0,1197844824031,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
31,74.0,1197844824375,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
32,195.0,1197844825000,1.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0

End Time: Dec 16, 2007 4:40:26 PM
