Timestamp: Dec 16, 2007 8:18:31 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 15.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 50.0
NumberOfFires: 1.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,47.0,1,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
2,7.0,1197857913155,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
3,39.0,1197857913872,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
4,26.0,1197857915535,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
5,65.0,1197857916536,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
6,10.0,1197857918874,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
7,17.0,1197857919656,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
8,44.0,1197857920470,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
9,44.0,1197857922088,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
10,50.0,1197857923465,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
11,24.0,1197857925192,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
12,59.0,1197857926184,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
13,11.0,1197857928059,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
14,33.0,1197857928760,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
15,38.0,1197857930079,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
16,35.0,1197857931521,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
17,78.0,1197857932929,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
18,92.0,1197857935251,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
19,24.0,1197857937909,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
20,10.0,1197857938936,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
21,93.0,1197857939675,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
22,69.0,1197857942379,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
23,59.0,1197857944506,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
24,23.0,1197857946365,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
25,102.0,1197857947433,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
26,61.0,1197857950314,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
27,44.0,1197857952200,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
28,47.0,1197857953758,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
29,27.0,1197857955306,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
30,80.0,1197857956335,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
31,18.0,1197857958622,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
32,32.0,1197857959508,1.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0

End Time: Dec 16, 2007 8:19:20 PM
