Timestamp: Dec 17, 2007 4:02:22 AM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 15.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 500.0
NumberOfFires: 5.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,13.0,1,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
2,9.0,1197864147418,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
3,11.0,1197864149382,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
4,14.0,1197864151599,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
5,9.0,1197864154611,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
6,15.0,1197864157330,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
7,8.0,1197864160194,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
8,15.0,1197864162286,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
9,11.0,1197864165047,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
10,13.0,1197864167987,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
11,19.0,1197864170309,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
12,18.0,1197864173897,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
13,12.0,1197864176944,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
14,7.0,1197864179279,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
15,14.0,1197864181062,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
16,13.0,1197864183751,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
17,25.0,1197864186403,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
18,13.0,1197864190562,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
19,12.0,1197864193015,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
20,20.0,1197864195401,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
21,18.0,1197864198581,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
22,13.0,1197864201853,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
23,10.0,1197864204279,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
24,13.0,1197864206471,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
25,15.0,1197864209037,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
26,12.0,1197864211822,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
27,16.0,1197864214449,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
28,13.0,1197864217840,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
29,14.0,1197864220431,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
30,14.0,1197864223115,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
31,9.0,1197864225928,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
32,11.0,1197864227881,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0

End Time: Dec 17, 2007 4:03:50 AM
