Timestamp: Dec 17, 2007 3:42:25 AM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 1.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 500.0
NumberOfFires: 10.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,93.0,1,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
2,126.0,1197862956589,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
3,106.0,1197862968513,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
4,39.0,1197862978231,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
5,112.0,1197862982454,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
6,85.0,1197862992507,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
7,217.0,1197863001694,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
8,48.0,1197863021600,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
9,75.0,1197863026594,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
10,295.0,1197863033741,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
11,113.0,1197863057834,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
12,53.0,1197863068066,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
13,52.0,1197863073515,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
14,93.0,1197863078972,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
15,70.0,1197863087491,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
16,64.0,1197863094338,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
17,70.0,1197863100403,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
18,81.0,1197863107240,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
19,88.0,1197863114867,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
20,129.0,1197863122975,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
21,57.0,1197863134004,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
22,61.0,1197863139713,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
23,177.0,1197863145449,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
24,89.0,1197863160683,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
25,66.0,1197863168874,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
26,173.0,1197863175060,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
27,75.0,1197863189799,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
28,119.0,1197863197096,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
29,132.0,1197863207468,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
30,60.0,1197863218769,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
31,119.0,1197863224504,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0
32,68.0,1197863234893,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,1.0,1.0,100.0

End Time: Dec 17, 2007 3:47:21 AM
