Timestamp: Dec 17, 2007 4:05:21 AM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 50.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 500.0
NumberOfFires: 5.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,11.0,1,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
2,11.0,1197864329653,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
3,11.0,1197864335840,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
4,11.0,1197864342029,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
5,10.0,1197864347954,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
6,11.0,1197864352828,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
7,14.0,1197864358061,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
8,10.0,1197864364807,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
9,18.0,1197864369589,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
10,13.0,1197864377464,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
11,11.0,1197864384433,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
12,19.0,1197864390081,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
13,9.0,1197864399103,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
14,14.0,1197864403694,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
15,13.0,1197864410127,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
16,14.0,1197864416044,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
17,11.0,1197864422835,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
18,12.0,1197864427852,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
19,10.0,1197864433026,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
20,7.0,1197864437675,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
21,12.0,1197864441896,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
22,17.0,1197864447284,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
23,25.0,1197864454918,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
24,13.0,1197864465609,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
25,17.0,1197864471640,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
26,17.0,1197864479409,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
27,13.0,1197864486893,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
28,18.0,1197864492549,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
29,13.0,1197864501037,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
30,21.0,1197864507793,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
31,16.0,1197864517345,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
32,4.0,1197864525062,5.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0

End Time: Dec 17, 2007 4:08:47 AM
