Timestamp: Dec 16, 2007 6:59:23 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 15.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 100.0
NumberOfFires: 10.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,101.0,1,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
2,47.0,1197853167552,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
3,48.0,1197853169801,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
4,104.0,1197853171564,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
5,112.0,1197853175071,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
6,61.0,1197853178727,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
7,52.0,1197853180893,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
8,83.0,1197853182729,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
9,46.0,1197853185439,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
10,73.0,1197853187154,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
11,76.0,1197853189548,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
12,89.0,1197853192154,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
13,77.0,1197853195195,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
14,46.0,1197853197681,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
15,94.0,1197853199360,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
16,48.0,1197853202417,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
17,75.0,1197853204259,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
18,62.0,1197853206764,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
19,42.0,1197853208918,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
20,144.0,1197853210604,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
21,67.0,1197853214931,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
22,84.0,1197853217212,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
23,48.0,1197853219925,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
24,65.0,1197853221778,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
25,62.0,1197853223992,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
26,34.0,1197853226176,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
27,77.0,1197853227518,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
28,79.0,1197853230090,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
29,103.0,1197853232722,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
30,33.0,1197853236027,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
31,46.0,1197853237401,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
32,73.0,1197853239018,10.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0

End Time: Dec 16, 2007 7:00:41 PM
