Timestamp: Dec 16, 2007 7:35:35 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 15.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 100.0
NumberOfFires: 500.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,548.0,1,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
2,544.0,1197855352198,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
3,524.0,1197855368173,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
4,547.0,1197855383897,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
5,556.0,1197855400085,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
6,529.0,1197855416344,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
7,501.0,1197855431999,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
8,514.0,1197855446795,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
9,661.0,1197855462166,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
10,512.0,1197855481116,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
11,543.0,1197855496042,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
12,557.0,1197855511779,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
13,546.0,1197855528096,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
14,500.0,1197855544286,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
15,517.0,1197855559022,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
16,535.0,1197855574220,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
17,530.0,1197855589977,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
18,542.0,1197855605665,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
19,500.0,1197855621445,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
20,511.0,1197855636179,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
21,531.0,1197855651404,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
22,524.0,1197855667009,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
23,545.0,1197855682329,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
24,561.0,1197855698243,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
25,514.0,1197855714448,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
26,509.0,1197855729660,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
27,554.0,1197855744778,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
28,530.0,1197855760945,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
29,553.0,1197855776297,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
30,568.0,1197855792272,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
31,505.0,1197855808753,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
32,605.0,1197855823485,500.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0

End Time: Dec 16, 2007 7:44:00 PM
