Timestamp: Dec 16, 2007 5:01:41 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 50.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 10.0
NumberOfFires: 10.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,1451.0,1,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
2,1212.0,1197846115328,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
3,1188.0,1197846126453,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
4,1545.0,1197846137218,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
5,1139.0,1197846152156,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
6,1408.0,1197846162484,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
7,1040.0,1197846175218,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
8,1146.0,1197846184765,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
9,1462.0,1197846195140,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
10,1243.0,1197846208515,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
11,1456.0,1197846219593,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
12,1040.0,1197846232703,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
13,907.0,1197846242250,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
14,713.0,1197846250859,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
15,884.0,1197846257359,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
16,1314.0,1197846265843,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
17,497.0,1197846278375,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
18,1610.0,1197846283453,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
19,1132.0,1197846298656,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
20,1354.0,1197846309421,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
21,782.0,1197846322500,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
22,882.0,1197846329968,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
23,618.0,1197846338375,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
24,941.0,1197846344281,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
25,487.0,1197846353218,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
26,1063.0,1197846357984,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
27,567.0,1197846368265,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
28,1359.0,1197846373656,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
29,1469.0,1197846386906,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
30,725.0,1197846400734,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
31,979.0,1197846407796,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
32,1039.0,1197846417093,10.0,10.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0

End Time: Dec 16, 2007 5:07:07 PM
