Timestamp: Dec 16, 2007 7:15:55 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 15.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 100.0
NumberOfFires: 5.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,30.0,1,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
2,56.0,1197854157290,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
3,40.0,1197854159560,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
4,24.0,1197854161161,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
5,110.0,1197854162771,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
6,25.0,1197854166150,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
7,110.0,1197854167277,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
8,27.0,1197854170754,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
9,45.0,1197854171961,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
10,102.0,1197854173656,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
11,27.0,1197854176919,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
12,27.0,1197854178127,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
13,40.0,1197854179287,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
14,30.0,1197854180783,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
15,29.0,1197854182102,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
16,120.0,1197854183350,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
17,69.0,1197854187071,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
18,27.0,1197854189326,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
19,35.0,1197854190452,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
20,42.0,1197854191913,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
21,43.0,1197854193431,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
22,30.0,1197854195023,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
23,48.0,1197854196252,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
24,73.0,1197854198021,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
25,44.0,1197854200451,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
26,52.0,1197854202036,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
27,45.0,1197854203910,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
28,71.0,1197854205473,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
29,23.0,1197854207795,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
30,22.0,1197854208918,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
31,24.0,1197854209897,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
32,22.0,1197854210948,5.0,100.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0

End Time: Dec 16, 2007 7:16:51 PM
