Timestamp: Dec 17, 2007 3:52:53 AM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 50.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 500.0
NumberOfFires: 10.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,15.0,1,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
2,15.0,1197863583575,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
3,11.0,1197863591290,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
4,13.0,1197863596541,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
5,23.0,1197863602739,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
6,16.0,1197863613094,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
7,20.0,1197863620750,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
8,20.0,1197863629481,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
9,10.0,1197863638865,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
10,17.0,1197863643845,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
11,14.0,1197863651240,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
12,12.0,1197863657676,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
13,20.0,1197863663189,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
14,12.0,1197863672697,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
15,16.0,1197863678676,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
16,20.0,1197863686303,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
17,19.0,1197863695472,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
18,13.0,1197863704202,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
19,12.0,1197863710121,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
20,11.0,1197863716069,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
21,16.0,1197863721262,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
22,16.0,1197863728521,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
23,19.0,1197863735880,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
24,14.0,1197863744810,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
25,13.0,1197863751289,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
26,21.0,1197863757354,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
27,18.0,1197863766763,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
28,15.0,1197863774944,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
29,13.0,1197863781979,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
30,23.0,1197863787829,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
31,12.0,1197863798963,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0
32,15.0,1197863804552,10.0,500.0,100.0,100.0,100.0,100.0,0.02,10.0,50.0,1.0,100.0

End Time: Dec 17, 2007 3:56:51 AM
