Timestamp: Dec 16, 2007 9:45:57 PM
AgentEnergy: 10.0
AgentExtinguishBonus: 1.0
AgentShotStrengthPercent: 100.0
AgentVisibility: 15.0
GridSize: 100.0
IgnitionProbability: 0.02
MaxFireStrength: 100.0
MaxFlamability: 100.0
MaxFuelLevel: 100.0
NumberOfFirefighters: 50.0
NumberOfFires: 500.0
ShowFlamability: false
ShowFuelLevel: false


"run","tick","RngSeed","numberOfFires","numberOfFirefighters","maxFlamability","maxFuelLevel","maxFireStrength","gridSize","ignitionProbability","agentEnergy","agentVisibility","agentExtinguishBonus","agentShotStrengthPercent"
1,597.0,1,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
2,583.0,1197863174183,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
3,573.0,1197863189667,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
4,590.0,1197863205043,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
5,581.0,1197863220777,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
6,563.0,1197863236122,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
7,592.0,1197863250984,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
8,544.0,1197863266591,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
9,629.0,1197863280988,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
10,615.0,1197863297435,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
11,576.0,1197863313600,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
12,572.0,1197863328845,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
13,551.0,1197863343896,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
14,555.0,1197863358384,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
15,615.0,1197863373031,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
16,566.0,1197863389031,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
17,552.0,1197863403926,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
18,578.0,1197863418531,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
19,569.0,1197863433646,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
20,603.0,1197863448601,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
21,591.0,1197863464236,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
22,588.0,1197863479662,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
23,557.0,1197863494848,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
24,598.0,1197863509497,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
25,566.0,1197863525189,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
26,576.0,1197863540055,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
27,533.0,1197863554867,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
28,587.0,1197863568777,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
29,539.0,1197863584086,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
30,596.0,1197863598218,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
31,619.0,1197863613610,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0
32,584.0,1197863629740,500.0,50.0,100.0,100.0,100.0,100.0,0.02,10.0,15.0,1.0,100.0

End Time: Dec 16, 2007 9:54:04 PM
